mode,query_repository,method,relevant_repositories,recommended_repositories,relevant_hits,precision_at_5,recall_at_5,hit_at_5,first_relevant_rank,reciprocal_rank
leave_one_out,coding-interview-university,hybrid,awesome-courses|build-your-own-x|cs-video-courses|computer-science|tech-interview-handbook|every-programmer-should-know|free-programming-books|Web-Dev-For-Beginners|system-design-primer|Made-With-ML,awesome-courses|free-programming-books|build-your-own-x|computer-science|cs-video-courses,5,1.0,0.5,1,1.0,1.0
leave_one_out,coding-interview-university,ollama,awesome-courses|build-your-own-x|cs-video-courses|computer-science|tech-interview-handbook|every-programmer-should-know|free-programming-books|Web-Dev-For-Beginners|system-design-primer|Made-With-ML,freeCodeCamp|free-programming-books|awesome|public-apis|developer-roadmap,1,0.2,0.1,1,2.0,0.5
leave_one_out,public-apis,semantic,hoppscotch|slate|elasticsearch|open-source-ios-apps|openai-cookbook|requests|awesome-selfhosted|frontend-dev-bookmarks|the-book-of-secret-knowledge|devdocs,hoppscotch|slate|openai-cookbook|awesome-selfhosted|the-book-of-secret-knowledge,5,1.0,0.5,1,1.0,1.0
leave_one_out,public-apis,graph,hoppscotch|slate|elasticsearch|open-source-ios-apps|openai-cookbook|requests|awesome-selfhosted|frontend-dev-bookmarks|the-book-of-secret-knowledge|devdocs,openai-cookbook|devdocs|slate|manifesto|Open-Assistant,3,0.6,0.3,1,1.0,1.0
leave_one_out,public-apis,hybrid,hoppscotch|slate|elasticsearch|open-source-ios-apps|openai-cookbook|requests|awesome-selfhosted|frontend-dev-bookmarks|the-book-of-secret-knowledge|devdocs,hoppscotch|openai-cookbook|slate|devdocs|free-for-dev,4,0.8,0.4,1,1.0,1.0
leave_one_out,public-apis,ollama,hoppscotch|slate|elasticsearch|open-source-ios-apps|openai-cookbook|requests|awesome-selfhosted|frontend-dev-bookmarks|the-book-of-secret-knowledge|devdocs,freeCodeCamp|free-programming-books|awesome|coding-interview-university|996.ICU,0,0.0,0.0,0,,0.0
leave_one_out,developer-roadmap,semantic,project-based-learning|every-programmer-should-know|Prompt-Engineering-Guide|Made-With-ML|build-your-own-x|awesome-for-beginners|app-ideas|Best-websites-a-programmer-should-visit|frontend-dev-bookmarks|freeCodeCamp,project-based-learning|Prompt-Engineering-Guide|every-programmer-should-know|Made-With-ML|build-your-own-x,5,1.0,0.5,1,1.0,1.0
leave_one_out,developer-roadmap,graph,project-based-learning|every-programmer-should-know|Prompt-Engineering-Guide|Made-With-ML|build-your-own-x|awesome-for-beginners|app-ideas|Best-websites-a-programmer-should-visit|frontend-dev-bookmarks|freeCodeCamp,Prompt-Engineering-Guide|first-contributions|awesome-for-beginners|freeCodeCamp|coding-interview-university,3,0.6,0.3,1,1.0,1.0
leave_one_out,developer-roadmap,hybrid,project-based-learning|every-programmer-should-know|Prompt-Engineering-Guide|Made-With-ML|build-your-own-x|awesome-for-beginners|app-ideas|Best-websites-a-programmer-should-visit|frontend-dev-bookmarks|freeCodeCamp,project-based-learning|freeCodeCamp|build-your-own-x|Prompt-Engineering-Guide|coding-interview-university,4,0.8,0.4,1,1.0,1.0
leave_one_out,developer-roadmap,ollama,project-based-learning|every-programmer-should-know|Prompt-Engineering-Guide|Made-With-ML|build-your-own-x|awesome-for-beginners|app-ideas|Best-websites-a-programmer-should-visit|frontend-dev-bookmarks|freeCodeCamp,freeCodeCamp|free-programming-books|awesome|coding-interview-university|public-apis,1,0.2,0.1,1,1.0,1.0
leave_one_out,system-design-primer,semantic,Made-With-ML|Prompt-Engineering-Guide|build-your-own-x|tech-interview-handbook|every-programmer-should-know|awesome-design-patterns|front-end-interview-handbook|papers-we-love|app-ideas|awesome-cheatsheets,Made-With-ML|build-your-own-x|awesome-design-patterns|Prompt-Engineering-Guide|tech-interview-handbook,5,1.0,0.5,1,1.0,1.0
leave_one_out,system-design-primer,graph,Made-With-ML|Prompt-Engineering-Guide|build-your-own-x|tech-interview-handbook|every-programmer-should-know|awesome-design-patterns|front-end-interview-handbook|papers-we-love|app-ideas|awesome-cheatsheets,developer-roadmap|interviews|build-your-own-x|100-Days-Of-ML-Code|langchain,1,0.2,0.1,1,3.0,0.3333
leave_one_out,system-design-primer,hybrid,Made-With-ML|Prompt-Engineering-Guide|build-your-own-x|tech-interview-handbook|every-programmer-should-know|awesome-design-patterns|front-end-interview-handbook|papers-we-love|app-ideas|awesome-cheatsheets,Made-With-ML|build-your-own-x|developer-roadmap|coding-interview-university|freeCodeCamp,2,0.4,0.2,1,1.0,1.0
leave_one_out,system-design-primer,ollama,Made-With-ML|Prompt-Engineering-Guide|build-your-own-x|tech-interview-handbook|every-programmer-should-know|awesome-design-patterns|front-end-interview-handbook|papers-we-love|app-ideas|awesome-cheatsheets,freeCodeCamp|free-programming-books|awesome|coding-interview-university|public-apis,0,0.0,0.0,0,,0.0
leave_one_out,build-your-own-x,semantic,Made-With-ML|app-ideas|freeCodeCamp|free-programming-books|awesome-courses|coding-interview-university|papers-we-love|every-programmer-should-know|developer-roadmap|freecodecamp.cn,Made-With-ML|app-ideas|freeCodeCamp|coding-interview-university|free-programming-books,5,1.0,0.5,1,1.0,1.0
leave_one_out,build-your-own-x,graph,Made-With-ML|app-ideas|freeCodeCamp|free-programming-books|awesome-courses|coding-interview-university|papers-we-love|every-programmer-should-know|developer-roadmap|freecodecamp.cn,system-design-primer|developer-roadmap|interviews|100-Days-Of-ML-Code|langchain,1,0.2,0.1,1,2.0,0.5
